run_dir,job_id,status,scale_gpus,cluster_gpus,nodes,partition,trials_requested,trials_completed,max_concurrent,sim_tend_s,wall_clock_min,doe_elapsed_min,avg_sec_per_trial,throughput_trials_per_hr,gpu_hours,trials_per_gpu_hour,speedup_vs_1gpu,parallel_efficiency_pct,batches_completed,nodelist
scale1gpu_19114,19114,PASS,1,1.0,,,2,2,0,,,7.9,236.2,15.2,0.13,15.24,1.00,100.0,2,
scale2gpu_19117,19117,PASS,2,2.0,1,rad,4,4,2,0.5,9.6,9.5,142.5,25.3,0.32,12.63,1.66,82.9,2,rad-vultr-mi355x-01
scale8gpu_19120,19120,PASS,8,8.0,1,rad,16,16,8,1.0,42.6,42.5,159.2,22.6,5.66,2.83,1.48,18.5,2,rad-vultr-mi355x-03
scale16gpu_19203,19203,PASS,16,16.0,2,rad,32,32,16,1.0,43.0,42.9,80.4,44.8,11.43,2.80,2.94,18.4,2,rad-vultr-mi355x-[02-03]
scale24gpu_19292,19292,PASS,24,24.0,3,rad,48,48,24,1.0,55.6,55.5,69.4,51.9,22.21,2.16,3.40,14.2,2,rad-vultr-mi355x-[01-03]
scale32gpu_19279,19279,PASS,32,32.0,4,rad-burst,64,64,32,1.0,42.1,42.1,39.4,91.3,22.43,2.85,5.99,18.7,2,lux-mi355x-a[9-12]
scale64gpu_19456,19456,PASS,64,64.0,8,rad-burst,128,128,64,1.0,50.9,50.9,23.8,151.0,54.24,2.36,9.92,15.5,2,"lux-mi355x-a[1-2,4-9]"
scale72gpu_19481,19481,PASS,72,72.0,9,rad-burst,144,144,72,1.0,50.4,50.3,21.0,171.8,60.35,2.39,11.25,15.6,2,"lux-mi355x-a[1-2,4-10]"
scale16gpu_19070,19070,FAIL,16,16.0,,,32,0,0,,,,,,0.00,0.00,,,0,
scale16gpu_19071,19071,FAIL,16,16.0,,,32,0,0,,,,,,0.00,0.00,,,0,
scale16gpu_19072,19072,FAIL,16,16.0,,,32,0,0,,,,,,0.00,0.00,,,0,
scale16gpu_19073,19073,FAIL,16,16.0,,,32,0,0,,,,,,0.00,0.00,,,0,
scale16gpu_19074,19074,FAIL,16,16.0,,,32,0,0,,,,,,0.00,0.00,,,0,
scale16gpu_19075,19075,FAIL,16,16.0,,,32,0,0,,,,,,0.00,0.00,,,0,
scale16gpu_19201,19201,FAIL,16,16.0,,,32,0,0,,,,,,0.00,0.00,,,0,
scale16gpu_19202,19202,FAIL,16,16.0,,,32,0,0,,,,,,0.00,0.00,,,0,
scale32gpu_19254,19254,FAIL,32,32.0,,,64,0,0,,,,,,0.00,0.00,,,0,
scale32gpu_19270,19270,PARTIAL,32,32.0,,,64,32,0,,,,,,0.00,0.00,,,0,
