cluster_name,scale_tier,mpi_ranks,job_id,partition,mode,trials,doe_min,throughput_trials_hr,avg_mpi_comm_bw_mbps,avg_mpi_bcast_latency_us,avg_mpi_allreduce_latency_us,mpi_unique_nodes_max,mpi_cross_node_trials,gpu_link_type,mpi_comm_bytes_total,avg_mpi_sync_bw_mbps,mpi_sync_bytes_total,gpu_bw_util_pct,gpu_mem_util_pct,gpus_per_trial,avg_gpu_sph_steps_per_sec,avg_gpu_sph_fraction_of_heartbeat,exit_code
,16,16,,,,0/0,,,,,,,,,,,,0,,1,,,
,16,16,,,,0/0,,,,,,,,,,,,0,,1,,,
,16,16,,,,0/0,,,,,,,,,,,,0,,1,,,
,16,16,,,,0/0,,,,,,,,,,,,0,,1,,,
,16,16,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,2,19639,,gpu_fsi_mpi,2/2,3.7,32.2,0.00,,,,,,4224,0.00,4224,0.00,,1,272.0,,0
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
,1,1,,,,0/0,,,,,,,,,,,,0,,1,,,
rad_mi355x,1,2,19704,rad,gpu_fsi_mpi,2/2,3.7,32.5,0.6554,38.98,34.26,1,0,,1584,0.6554,1584,0.00,0.00,1,272.8,0.9329,0
,24,24,,,,0/0,,,,,,,,,,,,0,,1,,,
,2,2,,,,0/0,,,,,,,,,,,,0,,1,,,
,2,2,,,,0/0,,,,,,,,,,,,0,,1,,,
,2,2,,,,0/0,,,,,,,,,,,,0,,1,,,
,2,2,,,,0/0,,,,,,,,,,,,0,,1,,,
,2,2,,,,0/0,,,,,,,,,,,,0,,1,,,
,2,2,,,,0/0,,,,,,,,,,,,0,,1,,,
,2,2,,,,0/0,,,,,,,,,,,,0,,1,,,
,2,2,,,,0/0,,,,,,,,,,,,0,,1,,,
,2,2,19640,,gpu_fsi_mpi,4/4,6.6,36.3,0.00,,,,,,8320,0.00,8320,0.00,,1,257.9,,0
,2,2,,,,0/0,,,,,,,,,,,,0,,1,,,
,2,2,,,,0/0,,,,,,,,,,,,0,,1,,,
,2,2,,,,0/0,,,,,,,,,,,,0,,1,,,
,2,2,,,,0/0,,,,,,,,,,,,0,,1,,,
rad_mi355x,2,2,19705,rad,gpu_fsi_mpi,4/4,6.5,36.7,0.6138,39.48,39.22,1,0,,3120,0.6138,3120,0.00,0.00,1,258.9,0.9316,0
,32,32,,,,0/0,,,,,,,,,,,,0,,1,,,
,32,32,,,,0/0,,,,,,,,,,,,0,,1,,,
,32,32,,,,0/0,,,,,,,,,,,,0,,1,,,
,32,32,,,,0/0,,,,,,,,,,,,0,,1,,,
,32,32,,,,0/0,,,,,,,,,,,,0,,1,,,
,32,32,,,,0/0,,,,,,,,,,,,0,,1,,,
,32,32,,,,0/0,,,,,,,,,,,,0,,1,,,
,32,32,,,,0/0,,,,,,,,,,,,0,,1,,,
,4,4,19641,,gpu_fsi_mpi,8/8,13.7,35.0,0.00,,,,,,34048,0.00,34048,0.00,,1,288.8,,0
,4,4,,,,0/0,,,,,,,,,,,,0,,1,,,
,4,4,,,,0/0,,,,,,,,,,,,0,,1,,,
,4,4,,,,0/0,,,,,,,,,,,,0,,1,,,
,4,4,,,,0/0,,,,,,,,,,,,0,,1,,,
